"Agencies that Submitted Violent Crime"
"Current date: 2/8/2026 12:41:59 AM (Central Standard Time)"
"Data source: MS_FBI, Offense Data"
"Incident Date: 2025"
"Measures: Number of Crimes"
"Offense Type","All Offense Types","Crimes Against Person","Murder and Nonnegligent Manslaughter","Negligent Manslaughter","Justifiable Homicide","Kidnapping/Abduction","All Rape","Rape","Sodomy","Sexual Assault With An Object","Criminal Sexual Contact","Incest","Statutory Rape","Aggravated Assault","Simple Assault","Intimidation","Human Trafficking, Commercial Sex Acts","Human Trafficking, Involuntary Servitude","Crimes Against Property","Arson","Bribery","Burglary/Breaking & Entering","Counterfeiting/Forgery","Destruction/Damage/Vandalism of Property","Embezzlement","Extortion/Blackmail","False Pretenses/Swindle/Confidence Game","Credit Card/Automated Teller Machine Fraud","Impersonation","Welfare Fraud","Wire Fraud","Identity Theft","Hacking/Computer Invasion","Robbery","Pocket-picking","Purse-snatching","Shoplifting","Theft From Building","Theft From Coin Operated Machine or Device","Theft From Motor Vehicle","Theft of Motor Vehicle Parts/Accessories","All Other Larceny","Motor Vehicle Theft","Stolen Property Offenses","Crimes Against Society","Drug/Narcotic Violations","Drug Equipment Violations","Betting/Wagering","Operating/Promoting/Assisting Gambling","Gambling Equipment Violations","Sports Tampering","Pornography/Obscene Material","Prostitution","Assisting or Promoting Prostitution","Purchasing Prostitution","Weapon Law Violations","Animal Cruelty","Missing","All Violent Crime","Murder","Aggravated Assault","Robbery","Non-consensual Sex Offenses",
"Jurisdiction by Geography"
"Mississippi","101,820","30,314","164","9","","143","646","556","51","40","345","5","86","3,883","18,536","6,475","21","1","47,031","227","11","5,038","715","9,553","830","107","2,133","1,228","608","8","318","608","26","506","79","49","6,386","1,669","44","3,652","280","8,954","3,332","670","24,475","14,422","7,144","5","","4","","258","18","16","10","2,395","203","","5,545","164","3,883","506","992"
"Adams County","761","368","1","","","1","7","6","","1","","","","49","154","156","","","304","6","","29","5","74","","2","16","6","4","","11","","","1","1","","7","","2","11","","86","32","11","89","56","11","","","","","1","","","","11","10","","58","1","49","1","7"
" Adams County Sheriff's Office","761","368","1","","","1","7","6","","1","","","","49","154","156","","","304","6","","29","5","74","","2","16","6","4","","11","","","1","1","","7","","2","11","","86","32","11","89","56","11","","","","","1","","","","11","10","","58","1","49","1","7"
"Not Reporting - Natchez Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alcorn County","1,934","719","1","1","","","6","6","","","2","","2","32","409","266","","","685","2","1","107","12","144","8","","51","15","3","","13","","1","3","","","106","7","","4","1","181","26","","530","282","219","","","","","6","","","","23","","","44","1","32","3","8"
"Alcorn County Sheriff's Office","436","248","","","","","2","2","","","1","","1","11","135","98","","","159","","","28","3","42","2","","3","2","","","7","","1","","","","2","3","","3","1","50","12","","29","21","5","","","","","1","","","","2","","","14","","11","","3"
"Corinth Police Department","1,498","471","1","1","","","4","4","","","1","","1","21","274","168","","","526","2","1","79","9","102","6","","48","13","3","","6","","","3","","","104","4","","1","","131","14","","501","261","214","","","","","5","","","","21","","","30","1","21","3","5"
"Amite County","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Liberty Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Gloster Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
